year,value
1950,1402896
1951,1436716
1952,1468078
1953,1496184
1954,1520690
1955,1541711
1956,1559845
1957,1576144
1958,1592036
1959,1609170
1960,1628997
1961,1652304
1962,1678820
1963,1707039
1964,1734711
1965,1760270
1966,1783106
1967,1803910
1968,1823969
1969,1845174
1970,1868826
1971,1895521
1972,1924665
1973,1954952
1974,1984486
1975,2011974
1976,2036600
1977,2058951
1978,2080802
1979,2104697
1980,2132281
1981,2164508
1982,2200299
1983,2236806
1984,2270037
1985,2297237
1986,2317337
1987,2331538
1988,2342132
1989,2352519
1990,2365211
1991,2380807
1992,2398663
1993,2418542
1994,2439839
1995,2462051
1996,2485230
1997,2509439
1998,2534127
1999,2558579
2000,2582219
2001,2604946
2002,2626716
2003,2647116
2004,2665680
2005,2682149
2006,2696227
2007,2708152
2008,2718862
2009,2729660
2010,2741485
