year,estimated-population
1950,7441
1951,7509
1952,7561
1953,7605
1954,7645
1955,7685
1956,7730
1957,7785
1958,7852
1959,7935
1960,8036
1961,8157
1962,8298
1963,8455
1964,8628
1965,8813
1966,9009
1967,9214
1968,9422
1969,9620
1970,9802
1971,9969
1972,10125
1973,10263
1974,10380
1975,10476
1976,10544
1977,10596
1978,10663
1979,10788
1980,11003
1981,11316
1982,11715
1983,12192
1984,12729
1985,13308
1986,13932
1987,14595
1988,15265
1989,15896
1990,16459
1991,16937
1992,17343
1993,17700
1994,18051
1995,18425
1996,18834
1997,19270
1998,19726
1999,20186
2000,20643
2001,21084
2002,21518
2003,21982
2004,22522
2005,23169
2006,23942
2007,24815
2008,25716
2009,26542
2010,27223
